model,prompt_len,baseline_multimem,no_ar,overlap_fused
Llama-3.3-70B-Instruct,1024,49.23212059075013,39.80677427413563,66.0309147904627
Llama-3.3-70B-Instruct,2048,88.94009297558416,73.11330212978646,75.78353606707726
Llama-3.3-70B-Instruct,4096,173.3084227424115,142.2140514672113,143.2777553331107
Llama-3.3-70B-Instruct,8192,348.4838974739735,283.9476206029455,285.78331167809665
Llama-3.3-70B-Instruct,16384,737.6221581012942,601.2736121076159,597.9620593250729
Llama-3.3-70B-Instruct,32768,1632.2426434024237,1353.9654255029743,1353.5693711251952
Llama-3.3-70B-Instruct,65536,3907.521734297431,3301.028698096828,3352.0826531612934
Qwen2.5-72B-Instruct,1024,50.52745476908361,41.04189942978943,69.15034337822969
Qwen2.5-72B-Instruct,2048,92.44427980544668,76.31453962530941,78.29179773107171
Qwen2.5-72B-Instruct,4096,177.19746111736944,146.3168166616621,148.20088965740675
Qwen2.5-72B-Instruct,8192,351.76559755345806,291.8020441895351,294.2870363709517
Qwen2.5-72B-Instruct,16384,748.9582930031853,618.1402052869089,620.1739402332654
Qwen2.5-72B-Instruct,32768,1658.9148416300304,1385.179705564709,1400.26625249302
Qwen2.5-72B-Instruct,65536,3983.488141473693,3380.8945290278643,3243.609654235964
Mixtral-8x22B-Instruct-v0.1,1024,45.03249330834175,39.1434023467203,41.071700727722295
Mixtral-8x22B-Instruct-v0.1,2048,63.026632162897535,54.07309007132426,92.60656707532084
Mixtral-8x22B-Instruct-v0.1,4096,114.29843083412077,98.72538599884138,105.61918310510616
Mixtral-8x22B-Instruct-v0.1,8192,218.37613564372683,186.4484915121769,194.509465895438
Mixtral-8x22B-Instruct-v0.1,16384,449.1031416264984,384.9738851034393,388.9667815179564
Mixtral-8x22B-Instruct-v0.1,32768,981.5611489311171,845.6066999429216,848.2873363924833
Mixtral-8x22B-Instruct-v0.1,65536,2325.3449378341124,2023.978116522388,2025.6272465960744
