model,prompt_len,baseline_multimem,no_ar,overlap_fused
Llama-3.3-70B-Instruct,1024,79.09047364567716,70.89814624438684,72.87220919970423
Llama-3.3-70B-Instruct,2048,151.43516859582937,134.61851213748255,138.39652864650512
Llama-3.3-70B-Instruct,4096,296.7515754746273,261.7631298334648,269.50275995768607
Llama-3.3-70B-Instruct,8192,614.2857570628015,542.8708113147877,543.6440645329034
Llama-3.3-70B-Instruct,16384,1303.388461889699,1144.362970569637,1165.9610377663437
Llama-3.3-70B-Instruct,32768,2913.321789264834,2586.1386461687894,2649.769265394813
Llama-3.3-70B-Instruct,65536,7130.739324206176,6403.8242932991125,6571.300829741328
Qwen2.5-72B-Instruct,1024,81.05762922593082,72.76425999201213,74.549506069161
Qwen2.5-72B-Instruct,2048,157.451293268241,140.23168346223733,142.31233668203154
Qwen2.5-72B-Instruct,4096,301.2240817615141,264.9379284819588,278.53620886259404
Qwen2.5-72B-Instruct,8192,623.5373046210347,552.4185362310769,547.94380707123
Qwen2.5-72B-Instruct,16384,1327.6305527581524,1178.1425089381326,1197.610651604676
Qwen2.5-72B-Instruct,32768,2967.441544739995,2633.961318177171,2711.462543163604
Qwen2.5-72B-Instruct,65536,6880.785921798088,6171.305923132847,6659.216964974378
