chunk_size,experiment,baseline_multimem,no_ar,overlap_fused
1024,"(512, 128)",16486.04,20645.1,14892.38
1024,"(1024, 128)",17486.79,21550.8,15606.15
1024,"(2048, 128)",18200.67,22302.21,15722.43
1024,ShareGPT,9809.17,12510.59,10192.51
2048,"(512, 128)",18397.25,22551.14,21645.69
2048,"(1024, 128)",18896.88,23020.45,22535.9
2048,"(2048, 128)",20185.08,24425.68,23585.01
2048,ShareGPT,10092.43,13108.7,12254.98
4096,"(512, 128)",19741.97,23989.98,23401.16
4096,"(1024, 128)",19832.93,24264.62,24139.57
4096,"(2048, 128)",22144.38,26894.29,25480.43
4096,ShareGPT,10473.19,13590.13,12510.51
8192,"(512, 128)",21007.48,25613.92,24793.24
8192,"(1024, 128)",21140.78,25853.94,25440.87
8192,"(2048, 128)",22767.47,27932.42,27819.15
8192,ShareGPT,10762.82,13679.84,12755.21
