BL,hidden_size,full_rms_norm_us,partial_rms_norm_us,torch_all_reduce_us,multimem_all_reduce_us,fused_arln_us,simple_fusion_arln_us,multimem_rs_us,multimem_ag_us
64,8192,7.840000092983246,7.104000076651573,33.34400057792664,15.263999812304974,17.216000705957413,22.94399961829185,15.168000012636185,12.608000077307224
128,8192,9.02399979531765,7.26399989798665,44.51199993491173,18.94400082528591,20.767999812960625,27.55199931561947,17.75999926030636,15.39199985563755
256,8192,10.528000071644785,7.455999962985516,58.52799862623215,26.8159992992878,28.44800055027008,38.7520007789135,23.264000192284584,21.05600014328957
512,8192,15.359999611973764,7.776000071316957,83.83999764919281,42.62400045990944,44.03200000524521,61.85600161552429,34.78400036692619,32.3840007185936
1024,8192,24.000000208616257,8.832000195980072,122.68800288438796,73.66400212049484,74.46400076150894,107.61599987745284,57.79200047254562,54.91200089454651
2048,8192,39.93599861860275,10.528000071644785,212.12799847126007,134.94400680065155,135.55200397968292,201.02399587631223,104.22399640083312,100.00000149011612
4096,8192,72.35199958086014,15.424000099301338,362.3040020465851,257.5039863586426,256.5119862556457,386.2720131874085,196.19199633598328,189.60000574588776
8192,8192,136.80000603199005,23.80800060927868,691.7120218276978,500.63997507095337,500.92798471450806,701.312005519867,379.9040019512177,369.7279989719391
16384,8192,266.30398631095886,40.09599983692169,1346.0479974746704,987.9040122032166,984.44801568985,1279.904007911682,748.2879757881165,727.840006351471
32768,8192,524.1600275039673,71.9359964132309,2636.575937271118,1958.1120014190676,1952.2240161895752,2433.1839084625244,1481.760025024414,1444.640040397644
