BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
64,8192,32,True,34.272000193595886,15.104000456631184,27.68000029027462,15.00799972563982,26.87999978661537,12.7360001206398
128,8192,8,True,45.60000076889992,19.36000026762485,33.08799862861633,17.823999747633934,31.775999814271927,15.39199985563755
256,8192,8,True,59.48799848556519,26.91200003027916,48.895999789237976,23.48800003528595,42.49599948525429,21.15200087428093
512,8192,8,True,85.24800091981888,42.59200021624565,56.063998490571976,35.26400029659271,52.15999856591225,32.48000144958496
1024,8192,8,True,124.1919994354248,73.34399968385696,76.60800218582153,59.167999774217606,74.27199929952621,55.16799911856651
2048,8192,16,True,216.6720032691956,135.3919953107834,117.21599847078323,106.33599758148192,118.97599697113036,100.60799866914748
4096,8192,16,True,362.3999953269959,257.1200132369995,202.4639993906021,198.5920071601868,203.61599326133728,189.7280067205429
8192,8192,16,True,692.7040219306946,500.60802698135376,378.27199697494507,383.7440013885498,376.9600093364716,370.2720105648041
16384,8192,16,True,1347.040057182312,988.2240295410156,719.4880247116089,754.2080283164978,714.8159742355347,728.9280295372009
32768,8192,16,True,2638.400077819824,1958.143949508667,1398.2399702072144,1491.6479587554932,1385.6639862060547,1445.95205783844
