BL,hidden_size,pytorch_dist_ar_us,multimem_ar_us_ctas_2,multimem_ar_us_ctas_4,multimem_ar_us_ctas_8,multimem_ar_us_ctas_16,multimem_ar_us_ctas_32
64,8192,34.2848002910614,17.472000792622566,15.263999812304974,15.32800029963255,15.32800029963255,15.104000456631184
128,8192,45.74720039963722,23.29600043594837,19.45599913597107,19.36000026762485,19.392000511288643,19.519999623298645
256,8192,59.63519960641861,35.10399907827377,27.295999228954315,26.91200003027916,28.255999088287357,31.3280001282692
512,8192,85.03039926290512,59.48799848556519,43.296001851558685,42.59200021624565,43.90399903059006,47.87199944257736
1024,8192,124.32000041007996,107.93600231409071,75.45600086450577,73.34399968385696,74.40000027418137,78.33600044250488
2048,8192,215.2640014886856,202.94399559497836,138.2720023393631,135.55200397968292,135.3919953107834,140.0959938764572
4096,8192,363.08479905128485,392.4480080604553,264.6079957485199,259.2639923095703,257.1200132369995,261.50399446487427
8192,8192,693.9584136009216,770.9119915962219,516.9600248336792,504.92799282073975,500.60802698135376,505.9199929237366
16384,8192,1350.9120225906372,1528.3199548721311,1017.632007598877,995.136022567749,988.2240295410156,996.6400265693665
32768,8192,2638.9312267303467,3044.640064239502,2022.655963897705,1964.735984802246,1958.143949508667,1967.4880504608157
