model_name,gpu_count,cs,dataset,input_len,output_len,impl,requests_per_sec,total_tokens_per_sec,output_tokens_per_sec,total_prompt_tokens,total_output_tokens
Llama-3.3-70B-Instruct,8,1024,random,512,128,no_ar,32.26,20645.10,4129.02,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,512,128,baseline_multimem,25.76,16486.04,3297.21,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,512,128,overlap_fused,23.27,14892.38,2978.48,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,no_ar,35.24,22551.14,4510.23,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,baseline_multimem,28.75,18397.25,3679.45,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,overlap_fused,33.82,21645.69,4329.14,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,no_ar,37.48,23989.98,4798.00,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,baseline_multimem,30.85,19741.97,3948.39,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,overlap_fused,36.56,23401.16,4680.23,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,no_ar,40.02,25613.92,5122.78,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,baseline_multimem,32.82,21007.48,4201.50,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,overlap_fused,38.74,24793.24,4958.65,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,no_ar,18.71,21550.80,2394.53,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,baseline_multimem,15.18,17486.79,1942.98,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,overlap_fused,13.55,15606.15,1734.02,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,no_ar,19.98,23020.45,2557.83,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,baseline_multimem,16.40,18896.88,2099.65,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,overlap_fused,19.56,22535.90,2503.99,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,no_ar,21.06,24264.62,2696.07,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,baseline_multimem,17.22,19832.93,2203.66,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,overlap_fused,20.95,24139.57,2682.17,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,no_ar,22.44,25853.94,2872.66,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,baseline_multimem,18.35,21140.78,2348.98,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,overlap_fused,22.08,25440.87,2826.76,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,no_ar,10.25,22302.21,1311.89,2048000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,baseline_multimem,8.36,18200.67,1070.63,2048000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,overlap_fused,7.23,15722.43,924.85,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,no_ar,11.23,24425.68,1436.80,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,baseline_multimem,9.28,20185.08,1187.36,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,overlap_fused,10.84,23585.01,1387.35,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,no_ar,12.36,26894.29,1582.02,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,baseline_multimem,10.18,22144.38,1302.61,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,overlap_fused,11.71,25480.43,1498.85,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,no_ar,12.84,27932.42,1643.08,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,baseline_multimem,10.46,22767.47,1339.26,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,overlap_fused,12.78,27819.15,1636.42,2048000,128000
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,no_ar,30.25,12510.59,6000.37,215196,198343
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,baseline_multimem,23.72,9809.17,4704.71,215196,198343
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,overlap_fused,24.65,10192.51,4888.57,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,no_ar,31.70,13108.70,6287.24,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,baseline_multimem,24.41,10092.43,4840.57,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,overlap_fused,29.63,12254.98,5877.78,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,no_ar,32.86,13590.13,6518.15,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,baseline_multimem,25.33,10473.19,5023.19,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,overlap_fused,30.25,12510.51,6000.33,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,no_ar,33.08,13679.84,6561.17,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,baseline_multimem,26.03,10762.82,5162.10,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,overlap_fused,30.84,12755.21,6117.70,215196,198343
