model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.21480356327569
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,88.72991661385943
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,172.7574244956486
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,347.451135989589
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.4359057373367
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1634.5680097622487
Llama-3.3-70B-Instruct,8,no_ar1,1024,43.614831392187625
Llama-3.3-70B-Instruct,8,no_ar1,2048,80.6147471186705
Llama-3.3-70B-Instruct,8,no_ar1,4096,158.3484210073948
Llama-3.3-70B-Instruct,8,no_ar1,8192,318.8828420980523
Llama-3.3-70B-Instruct,8,no_ar1,16384,673.0780389353944
Llama-3.3-70B-Instruct,8,no_ar1,32768,1542.7938755330008
Llama-3.3-70B-Instruct,8,no_ar2,1024,43.8049560218739
Llama-3.3-70B-Instruct,8,no_ar2,2048,80.54872925470893
Llama-3.3-70B-Instruct,8,no_ar2,4096,158.0523275382196
Llama-3.3-70B-Instruct,8,no_ar2,8192,317.3543021393319
Llama-3.3-70B-Instruct,8,no_ar2,16384,674.7030629892834
Llama-3.3-70B-Instruct,8,no_ar2,32768,1514.7313673902925
Llama-3.3-70B-Instruct,8,no_ln1,1024,47.69667578705897
Llama-3.3-70B-Instruct,8,no_ln1,2048,85.86903002190714
Llama-3.3-70B-Instruct,8,no_ln1,4096,167.8754526966562
Llama-3.3-70B-Instruct,8,no_ln1,8192,339.0476162933434
Llama-3.3-70B-Instruct,8,no_ln1,16384,709.7137500687192
Llama-3.3-70B-Instruct,8,no_ln1,32768,1594.8589413659647
Llama-3.3-70B-Instruct,8,no_ln2,1024,47.80034904057781
Llama-3.3-70B-Instruct,8,no_ln2,2048,85.61931320388491
Llama-3.3-70B-Instruct,8,no_ln2,4096,168.26465505873784
Llama-3.3-70B-Instruct,8,no_ln2,8192,339.3541652903271
Llama-3.3-70B-Instruct,8,no_ln2,16384,704.6855291390481
Llama-3.3-70B-Instruct,8,no_ln2,32768,1592.73040293095
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.18205963230381
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,91.82014477749665
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,176.41885102493688
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,351.6411488526501
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,745.4657726649506
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1661.5581124361295
Qwen2.5-72B-Instruct,8,no_ar1,1024,44.94504291797057
Qwen2.5-72B-Instruct,8,no_ar1,2048,83.77079732793693
Qwen2.5-72B-Instruct,8,no_ar1,4096,162.8759178953866
Qwen2.5-72B-Instruct,8,no_ar1,8192,326.6898214778242
Qwen2.5-72B-Instruct,8,no_ar1,16384,686.8989243676575
Qwen2.5-72B-Instruct,8,no_ar1,32768,1569.8976159483816
Qwen2.5-72B-Instruct,8,no_ar2,1024,45.17707771544034
Qwen2.5-72B-Instruct,8,no_ar2,2048,83.84131799684837
Qwen2.5-72B-Instruct,8,no_ar2,4096,162.40542959809923
Qwen2.5-72B-Instruct,8,no_ar2,8192,325.0295767560601
Qwen2.5-72B-Instruct,8,no_ar2,16384,685.8851516153663
Qwen2.5-72B-Instruct,8,no_ar2,32768,1552.694679389242
Qwen2.5-72B-Instruct,8,no_ln1,1024,48.66043460012103
Qwen2.5-72B-Instruct,8,no_ln1,2048,89.15878457482904
Qwen2.5-72B-Instruct,8,no_ln1,4096,171.01601343213892
Qwen2.5-72B-Instruct,8,no_ln1,8192,341.9260250637308
Qwen2.5-72B-Instruct,8,no_ln1,16384,727.0516508258879
Qwen2.5-72B-Instruct,8,no_ln1,32768,1611.4640494653333
Qwen2.5-72B-Instruct,8,no_ln2,1024,48.704195903458945
Qwen2.5-72B-Instruct,8,no_ln2,2048,89.23238941157858
Qwen2.5-72B-Instruct,8,no_ln2,4096,170.9272965711231
Qwen2.5-72B-Instruct,8,no_ln2,8192,343.2206510294539
Qwen2.5-72B-Instruct,8,no_ln2,16384,722.7653287622767
Qwen2.5-72B-Instruct,8,no_ln2,32768,1610.4725932624813
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,45.83949136237303
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,62.903171797127776
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,113.65870849695057
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,217.98245846293867
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,449.6357166673988
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,980.4857378088249
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,42.41195187205449
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,58.53364088494951
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,105.44196202730139
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,203.9365783178558
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,425.9162634029053
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,930.0200512826754
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,42.60582159816598
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,56.86277794884518
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,103.48114426791047
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,201.7513335798867
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,423.5318448433342
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,921.7063593600566
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,43.92401579922686
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,60.18632386888688
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,108.53792063814278
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,211.90735508765405
