model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,49.23212059075013
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,88.94009297558416
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,173.3084227424115
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,348.4838974739735
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,737.6221581012942
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1632.2426434024237
Llama-3.3-70B-Instruct,8,baseline_multimem,65536,3907.5217342974306
Llama-3.3-70B-Instruct,8,no_ar,1024,39.80677427413563
Llama-3.3-70B-Instruct,8,no_ar,2048,73.11330212978646
Llama-3.3-70B-Instruct,8,no_ar,4096,142.2140514672113
Llama-3.3-70B-Instruct,8,no_ar,8192,283.9476206029455
Llama-3.3-70B-Instruct,8,no_ar,16384,601.2736121076159
Llama-3.3-70B-Instruct,8,no_ar,32768,1353.9654255029745
Llama-3.3-70B-Instruct,8,no_ar,65536,3301.028698096828
Llama-3.3-70B-Instruct,8,overlap_fused,1024,66.0309147904627
Llama-3.3-70B-Instruct,8,overlap_fused,2048,75.78353606707726
Llama-3.3-70B-Instruct,8,overlap_fused,4096,143.2777553331107
Llama-3.3-70B-Instruct,8,overlap_fused,8192,285.78331167809665
Llama-3.3-70B-Instruct,8,overlap_fused,16384,597.9620593250729
Llama-3.3-70B-Instruct,8,overlap_fused,32768,1353.5693711251952
Llama-3.3-70B-Instruct,8,overlap_fused,65536,3352.0826531612934
Llama-3.3-70B-Instruct,4,baseline_multimem,1024,79.09047364567716
Llama-3.3-70B-Instruct,4,baseline_multimem,2048,151.43516859582937
Llama-3.3-70B-Instruct,4,baseline_multimem,4096,296.7515754746273
Llama-3.3-70B-Instruct,4,baseline_multimem,8192,614.2857570628015
Llama-3.3-70B-Instruct,4,baseline_multimem,16384,1303.388461889699
Llama-3.3-70B-Instruct,4,baseline_multimem,32768,2913.321789264834
Llama-3.3-70B-Instruct,4,baseline_multimem,65536,7130.739324206176
Llama-3.3-70B-Instruct,4,no_ar,1024,70.89814624438684
Llama-3.3-70B-Instruct,4,no_ar,2048,134.61851213748255
Llama-3.3-70B-Instruct,4,no_ar,4096,261.7631298334648
Llama-3.3-70B-Instruct,4,no_ar,8192,542.8708113147877
Llama-3.3-70B-Instruct,4,no_ar,16384,1144.3629705696367
Llama-3.3-70B-Instruct,4,no_ar,32768,2586.1386461687894
Llama-3.3-70B-Instruct,4,no_ar,65536,6403.8242932991125
Llama-3.3-70B-Instruct,4,overlap_fused,1024,72.87220919970423
Llama-3.3-70B-Instruct,4,overlap_fused,2048,138.39652864650512
Llama-3.3-70B-Instruct,4,overlap_fused,4096,269.50275995768607
Llama-3.3-70B-Instruct,4,overlap_fused,8192,543.6440645329034
Llama-3.3-70B-Instruct,4,overlap_fused,16384,1165.9610377663437
Llama-3.3-70B-Instruct,4,overlap_fused,32768,2649.769265394813
Llama-3.3-70B-Instruct,4,overlap_fused,65536,6571.300829741328
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,50.52745476908361
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,92.44427980544667
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,177.19746111736944
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,351.76559755345806
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,748.9582930031853
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1658.9148416300304
Qwen2.5-72B-Instruct,8,baseline_multimem,65536,3983.4881414736933
Qwen2.5-72B-Instruct,8,no_ar,1024,41.04189942978943
Qwen2.5-72B-Instruct,8,no_ar,2048,76.31453962530941
Qwen2.5-72B-Instruct,8,no_ar,4096,146.3168166616621
Qwen2.5-72B-Instruct,8,no_ar,8192,291.8020441895351
Qwen2.5-72B-Instruct,8,no_ar,16384,618.1402052869089
Qwen2.5-72B-Instruct,8,no_ar,32768,1385.1797055647087
Qwen2.5-72B-Instruct,8,no_ar,65536,3380.8945290278643
Qwen2.5-72B-Instruct,8,overlap_fused,1024,69.15034337822969
Qwen2.5-72B-Instruct,8,overlap_fused,2048,78.29179773107171
Qwen2.5-72B-Instruct,8,overlap_fused,4096,148.20088965740675
Qwen2.5-72B-Instruct,8,overlap_fused,8192,294.2870363709517
Qwen2.5-72B-Instruct,8,overlap_fused,16384,620.1739402332654
Qwen2.5-72B-Instruct,8,overlap_fused,32768,1400.2662524930201
Qwen2.5-72B-Instruct,8,overlap_fused,65536,3243.609654235964
Qwen2.5-72B-Instruct,4,baseline_multimem,1024,81.05762922593082
Qwen2.5-72B-Instruct,4,baseline_multimem,2048,157.451293268241
Qwen2.5-72B-Instruct,4,baseline_multimem,4096,301.2240817615141
Qwen2.5-72B-Instruct,4,baseline_multimem,8192,623.5373046210347
Qwen2.5-72B-Instruct,4,baseline_multimem,16384,1327.6305527581524
Qwen2.5-72B-Instruct,4,baseline_multimem,32768,2967.441544739995
Qwen2.5-72B-Instruct,4,baseline_multimem,65536,6880.785921798088
Qwen2.5-72B-Instruct,4,no_ar,1024,72.76425999201213
Qwen2.5-72B-Instruct,4,no_ar,2048,140.23168346223733
Qwen2.5-72B-Instruct,4,no_ar,4096,264.9379284819588
Qwen2.5-72B-Instruct,4,no_ar,8192,552.4185362310769
Qwen2.5-72B-Instruct,4,no_ar,16384,1178.1425089381326
Qwen2.5-72B-Instruct,4,no_ar,32768,2633.961318177171
Qwen2.5-72B-Instruct,4,no_ar,65536,6171.305923132847
Qwen2.5-72B-Instruct,4,overlap_fused,1024,74.549506069161
Qwen2.5-72B-Instruct,4,overlap_fused,2048,142.31233668203154
Qwen2.5-72B-Instruct,4,overlap_fused,4096,278.53620886259404
Qwen2.5-72B-Instruct,4,overlap_fused,8192,547.94380707123
Qwen2.5-72B-Instruct,4,overlap_fused,16384,1197.610651604676
Qwen2.5-72B-Instruct,4,overlap_fused,32768,2711.4625431636036
Qwen2.5-72B-Instruct,4,overlap_fused,65536,6659.216964974378
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,45.03249330834175
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,63.026632162897535
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,114.29843083412077
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,218.37613564372683
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,449.10314162649837
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,981.5611489311171
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,65536,2325.3449378341124
Mixtral-8x22B-Instruct-v0.1,8,no_ar,1024,39.1434023467203
Mixtral-8x22B-Instruct-v0.1,8,no_ar,2048,54.07309007132426
Mixtral-8x22B-Instruct-v0.1,8,no_ar,4096,98.72538599884138
Mixtral-8x22B-Instruct-v0.1,8,no_ar,8192,186.4484915121769
Mixtral-8x22B-Instruct-v0.1,8,no_ar,16384,384.9738851034393
Mixtral-8x22B-Instruct-v0.1,8,no_ar,32768,845.6066999429216
Mixtral-8x22B-Instruct-v0.1,8,no_ar,65536,2023.9781165223878
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,1024,41.071700727722295
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,2048,92.60656707532083
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,4096,105.61918310510616
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,8192,194.50946589543796
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,16384,388.9667815179564
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,32768,848.2873363924833
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,65536,2025.6272465960744
