BL,hidden_size,multimem_ctas,correctness,full_rms_norm_us,partial_rms_norm_us,torch_all_reduce_us,multimem_all_reduce_us,fused_arln_us,simple_fusion_arln_us,multimem_rs_us,multimem_ag_us
64,8192,2,True,56.703999638557434,11.935999616980553,33.56799855828285,17.311999574303627,22.655999287962914,30.208000913262367,17.08799973130226,12.768000364303589
64,8192,4,True,31.26399964094162,8.767999708652496,33.376000821590424,15.519999898970127,18.33599992096424,24.992000311613083,15.168000012636185,12.768000364303589
64,8192,8,True,18.81599985063076,7.23200011998415,33.344000577926636,15.39199985563755,17.24799908697605,23.455999791622162,15.32800029963255,12.671999633312225
64,8192,16,True,12.575999833643436,7.296000141650438,33.504001796245575,15.263999812304974,17.27999933063984,22.943999618291855,15.32800029963255,12.608000077307224
64,8192,32,True,9.216000325977802,7.199999876320362,33.59999880194664,15.39199985563755,17.216000705957413,23.19999970495701,15.263999812304974,12.864000163972378
64,8192,64,True,7.872000336647034,7.168000098317862,33.695999532938,15.296000055968761,17.24799908697605,23.423999547958374,15.32800029963255,13.055999763309956
64,8192,128,True,7.935999892652035,7.360000163316727,33.56799855828285,15.615999698638916,17.503999173641205,23.584000766277313,15.552000142633915,13.279999606311321
64,8192,0,True,7.840000092983246,7.104000076651573,33.56799855828285,15.48799965530634,17.24799908697605,23.520000278949738,15.359999611973763,12.83199992030859
128,8192,2,True,106.33599758148193,18.239999189972878,44.89599913358688,23.04000034928322,34.33600068092346,44.64000090956688,22.52800017595291,15.48799965530634
128,8192,4,True,56.223999708890915,11.935999616980553,44.544000178575516,19.487999379634857,25.98400041460991,33.79200026392937,18.303999677300453,15.456000342965126
128,8192,8,True,31.647998839616776,8.927999995648861,44.51199993491173,18.94400082528591,22.304000332951546,30.400000512599945,17.952000722289085,15.48799965530634
128,8192,16,True,19.29599978029728,7.327999919652939,44.576000422239304,19.26399953663349,20.767999812960625,27.55199931561947,17.75999926030636,15.39199985563755
128,8192,32,True,12.896000407636166,7.2639998979866505,45.05600035190582,19.680000841617584,21.407999098300934,27.96800062060356,17.75999926030636,15.615999698638916
128,8192,64,True,10.143999941647053,7.391999941319227,44.576000422239304,19.711999222636223,21.536000072956085,28.192000463604927,18.17600056529045,15.839999541640282
128,8192,128,True,9.02399979531765,7.360000163316727,44.576000422239304,19.680000841617584,21.75999991595745,28.192000463604927,17.920000478625298,15.936000272631645
128,8192,0,True,9.088000282645226,7.2639998979866505,44.67200115323067,19.13600042462349,21.056000143289566,27.807999402284622,17.983999103307724,15.39199985563755
256,8192,2,True,207.2959989309311,31.072000041604042,58.52799862623215,34.97600182890892,58.04799869656563,74.33599978685379,34.20799970626831,21.056000143289566
256,8192,4,True,106.55999928712845,18.464000895619392,58.59199911355972,27.264000847935677,40.73600098490715,52.38400027155876,24.54400062561035,21.183999255299568
256,8192,8,True,57.151999324560165,12.160000391304493,58.75200033187866,26.815999299287796,31.295999884605408,43.99999976158142,23.520000278949738,21.15200087428093
256,8192,16,True,32.35200047492981,8.960000239312649,58.6559996008873,28.28799933195114,28.44800055027008,40.47999903559685,23.264000192284584,21.247999742627144
256,8192,32,True,20.160000771284103,7.488000206649303,58.81600081920624,31.488001346588135,31.55200183391571,39.03999924659729,23.423999547958374,21.15200087428093
256,8192,64,True,14.368000440299511,7.488000206649303,58.559998869895935,31.647998839616776,31.71199932694435,38.88000175356865,23.296000435948372,21.183999255299568
256,8192,128,True,11.935999616980553,7.552000228315592,58.6559996008873,31.520001590251923,31.775999814271927,39.264000952243805,23.552000522613525,21.407999098300934
256,8192,0,True,10.528000071644783,7.455999962985516,58.9120015501976,27.03999914228916,31.647998839616776,38.7520007789135,23.520000278949738,21.27999998629093
512,8192,2,True,403.23200821876526,55.58399856090546,84.03199911117554,59.29600074887276,104.8320010304451,133.95200669765472,57.0559985935688,32.3840007185936
512,8192,4,True,206.43199980258942,31.136000528931618,84.09599959850311,43.35999861359596,69.69600170850754,89.40800279378891,37.567999213933945,32.80000016093254
512,8192,8,True,107.26399719715118,18.65600049495697,83.99999886751175,43.20000112056732,47.90399968624115,73.98399710655212,35.711999982595444,32.6399989426136
512,8192,16,True,58.04799869656563,12.480000033974648,83.90399813652039,43.55200007557869,44.03200000524521,66.78400188684464,34.912001341581345,32.54399821162224
512,8192,32,True,34.17599946260452,9.279999881982803,83.90399813652039,47.42399975657463,47.42399975657463,63.4239986538887,34.94400158524513,32.575998455286026
512,8192,64,True,22.84800074994564,7.807999849319458,84.3840017914772,54.62399870157242,55.135998874902725,61.85600161552429,34.78400036692619,32.735999673604965
512,8192,128,True,17.535999417304993,7.903999648988247,83.83999764919281,54.84800040721893,55.23199960589409,62.3680017888546,35.232000052928925,33.11999887228012
512,8192,0,True,15.359999611973763,7.7760000713169575,84.3840017914772,42.62400045990944,55.16799911856651,62.30400130152702,35.26400029659271,32.735999673604965
1024,8192,2,True,806.5599799156189,105.66399991512299,123.32800030708313,108.0000028014183,198.81600141525269,252.25600600242615,102.62399911880493,55.10399863123894
1024,8192,4,True,407.23198652267456,56.063998490571976,122.68800288438797,74.78400319814682,126.5919953584671,161.9199961423874,63.26399743556976,54.91200089454651
1024,8192,8,True,208.3200067281723,31.328000128269196,123.10399860143661,73.79200309515,79.83999699354172,132.38400220870972,59.039998799562454,55.03999814391136
1024,8192,16,True,109.6000000834465,19.487999379634857,122.68800288438797,74.17599856853485,74.46400076150894,118.81600320339203,58.111999183893204,55.10399863123894
1024,8192,32,True,61.95199862122536,12.896000407636166,123.10399860143661,78.20799946784973,78.04799824953079,112.44799941778183,58.400001376867294,54.9440011382103
1024,8192,64,True,39.16800022125244,9.8879998549819,123.16799908876419,86.01599931716919,85.75999736785889,109.11999642848969,57.792000472545624,55.32800033688545
1024,8192,128,True,28.12799997627735,8.832000195980072,122.84799665212631,99.61599856615067,100.76799988746643,108.03200304508209,58.46399813890457,55.39200082421303
1024,8192,0,True,24.000000208616257,8.832000195980072,122.84799665212631,73.66400212049484,100.89600086212158,107.61599987745285,58.848001062870026,55.36000058054924
2048,8192,2,True,1597.5680351257324,205.47200739383698,215.55200219154358,204.19199764728546,386.9760036468506,487.5519871711731,192.00000166893005,100.54399818181992
2048,8192,4,True,810.7200264930725,107.04000294208527,215.45599400997162,138.17599415779114,239.68000710010529,308.25600028038025,114.75200206041336,100.16000270843506
2048,8192,8,True,409.824013710022,56.86400085687637,215.87200462818146,134.94400680065155,144.57599818706512,249.79199469089508,107.35999792814255,100.00000149011612
2048,8192,16,True,210.1760059595108,32.15999901294708,215.5199944972992,135.19999384880066,135.55200397968292,223.64799678325653,105.76000064611435,100.16000270843506
