BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
64,8192,2,True,34.272000193595886,17.472000792622566,27.55199931561947,17.216000705957413,26.91200003027916,12.864000163972378
128,8192,2,True,45.9199994802475,23.296000435948372,33.504001796245575,22.624000906944275,31.87200054526329,15.48799965530634
256,8192,2,True,59.7120001912117,35.10399907827377,49.18399825692177,34.07999873161316,42.847998440265656,21.183999255299568
512,8192,2,True,84.83199775218964,59.487998485565186,56.41600117087364,57.08799883723259,52.191998809576035,33.08799862861633
1024,8192,2,True,124.44800138473511,107.93600231409073,76.60800218582153,103.13600301742554,73.82400333881378,55.1999993622303
2048,8192,2,True,214.1759991645813,202.94399559497833,116.7680025100708,190.97599387168884,118.97599697113037,100.28800368309021
4096,8192,2,True,363.16800117492676,392.4480080604553,201.75999402999878,367.5520122051239,203.80799472332,189.79200720787048
8192,8192,2,True,694.6880221366882,770.9119915962219,379.68000769615173,718.8159823417664,377.75999307632446,371.8720078468323
16384,8192,2,True,1353.5679578781128,1528.3199548721313,720.4480171203613,1424.1280555725098,716.543972492218,732.9599857330322
32768,8192,2,True,2638.5600566864014,3044.640064239502,1397.887945175171,2838.8800621032715,1386.7839574813843,1453.8880586624146
64,8192,4,True,34.20799970626831,15.263999812304974,27.51999907195568,15.104000456631184,26.59199945628643,12.608000077307224
128,8192,4,True,45.69600149989128,19.45599913597107,33.215999603271484,18.144000321626663,31.55200183391571,15.519999898970127
256,8192,4,True,59.58399921655655,27.295999228954315,48.99200052022934,24.800000712275505,42.62400045990944,21.12000063061714
512,8192,4,True,84.86399799585342,43.296001851558685,56.15999922156334,37.76000067591667,52.12799832224846,32.6399989426136
1024,8192,4,True,124.03199821710587,75.45600086450577,76.25599950551987,63.77600133419037,73.85600358247757,55.16799911856651
2048,8192,4,True,216.22399985790253,138.2720023393631,117.0559972524643,113.92000317573547,118.84800344705582,100.47999769449234
4096,8192,4,True,362.91199922561646,264.6079957485199,201.50400698184967,213.72799575328827,203.80799472332,189.66400623321533
8192,8192,4,True,693.6960220336914,516.9600248336792,379.040002822876,412.1600091457367,376.2879967689514,371.16798758506775
16384,8192,4,True,1346.7520475387573,1017.632007598877,718.6560034751892,806.5919876098633,714.3039703369141,730.5920124053955
32768,8192,4,True,2639.4879817962646,2022.655963897705,1397.9840278625488,1593.34397315979,1385.983943939209,1449.0879774093628
64,8192,8,True,34.33600068092346,15.32800029963255,27.51999907195568,15.263999812304974,26.784000918269157,12.799999676644802
