BL,hidden_size,baseline_us,smart_us,offset_0,offset_64,offset_128,offset_192,offset_256
1024,8192,274.27199482917786,282.943993806839,282.943993806839,347.48800098896027,342.6239937543869,356.25600814819336,316.73599779605865
1280,8192,337.44001388549805,357.88799822330475,410.0480079650879,430.6880086660385,357.88799822330475,402.4000018835068,400.2559930086136
1536,8192,392.32000708580017,418.5279905796051,432.19199776649475,480.8959811925888,467.0080095529556,486.9440197944641,418.5279905796051
1792,8192,448.0319917201996,491.456001996994,522.1120119094849,535.1040065288544,491.456001996994,538.5919958353043,524.4799852371216
2048,8192,504.7360062599182,549.0559935569763,549.0559935569763,589.0879929065704,576.0319828987122,592.991977930069,549.7919917106628
2304,8192,584.1280221939087,609.4399988651276,633.3119869232178,649.152010679245,609.4399988651276,646.7840075492859,633.6959898471832
2560,8192,617.6000237464905,669.75998878479,673.5360026359558,710.239976644516,694.0159797668457,711.679995059967,669.75998878479
2816,8192,699.5840072631836,731.1360239982605,750.3679990768433,766.9439911842346,731.1360239982605,766.5280103683472,749.2479979991913
3072,8192,740.2560114860535,783.2319736480713,784.576028585434,820.8639919757843,806.0159981250763,818.1760013103485,783.2319736480713
3328,8192,799.5200157165527,831.7760229110718,863.9360070228577,878.0479729175568,839.7440016269684,853.3119857311249,831.7760229110718
3584,8192,856.7360043525696,891.2639915943146,898.6560106277466,903.9359986782074,891.2639915943146,935.7440173625946,899.5520174503326
3840,8192,889.9520039558411,915.7119989395142,915.7119989395142,958.5599899291992,955.0400078296661,987.2319996356964,964.5120203495026
